Gene	Log2FoldChange	pvalue
R3HDM4	0.1	0.257
MLEC	-0.12	0.257
DDIAS	0.18	0.257
GIGYF2	0.07	0.258
CDK14	0.15	0.258
LRRC37A6P	-0.23	0.258
WAC	0.08	0.258
PAX3	-0.11	0.258
HIBCH	-0.11	0.258
HPS6	0.08	0.258
SCEL	0.13	0.258
ANKRD30BP2	-0.17	0.258
TACR3	0.07	0.258
SPATA25	0.17	0.258
CLEC14A	-0.15	0.258
CYTIP	0.28	0.258
MRPS11	-0.09	0.258
RPS6KA2	-0.2	0.258
C1ORF185	-0.02	0.258
IL1R1	0.14	0.258
TRMT44	0.06	0.258
SERTAD4-AS1	-0.23	0.259
H1-1	-0.09	0.259
GAGE2C	0.22	0.259
KRT74	0.07	0.259
FAM238A	-0.1	0.259
SNORA75	0.03	0.259
GATA1	-0.1	0.259
AOC2	-0.17	0.259
PRPH2	-0.22	0.259
WIPI1	-0.14	0.259
SYN3	0.31	0.259
EIF4A2	0.1	0.259
RAB2A	0.1	0.259
LINC01102	-0.04	0.259
PPP2CA	0.05	0.259
KIAA0087	-0.08	0.259
ARHGAP23	-0.17	0.259
KRT18P55	-0.05	0.259
FAF1	-0.09	0.26
SPDYE7P	-0.11	0.26
HBZ	-0.06	0.26
SYK	0.21	0.26
METTL22	-0.09	0.26
TACO1	-0.11	0.26
FITM2	-0.12	0.26
WNT5A	-0.36	0.26
EPAS1	-0.12	0.26
MCEMP1	0.22	0.26
HYAL2	0.08	0.26
APCDD1L	-0.18	0.26
OR10A3	0.03	0.26
BCL2L2	-0.09	0.26
GNAS-AS1	0.2	0.26
PFKFB1	-0.39	0.26
PRPF31	0.09	0.261
REX1BD	-0.13	0.261
ZNF3	0.07	0.261
SPEF1	0.21	0.261
OR51G2	0.04	0.261
SARNP	0.08	0.261
C19ORF54	-0.11	0.261
HOXD9	0.34	0.261
RNF121	-0.08	0.261
KDM6B	0.14	0.261
SPECC1L	-0.09	0.261
LZIC	-0.12	0.261
CTSB	0.14	0.261
PSMA4	-0.07	0.261
CYSTM1	-0.14	0.261
ALG2	0.09	0.262
DPYSL4	0.34	0.262
OR4F5	0.09	0.262
GALNT12	-0.31	0.262
LINC01205	-0.1	0.262
IZUMO1	-0.12	0.262
C15ORF54	-0.09	0.262
ZNF691	0.11	0.262
SMARCE1	0.09	0.262
TMEM184B	0.1	0.262
SYT16	0.08	0.262
CNOT6L	-0.11	0.262
ST7-OT4	0.15	0.262
SLC35B2	0.09	0.262
CATSPER3	-0.15	0.262
POLR2C	-0.09	0.262
COQ2	-0.11	0.262
MORN2	0.12	0.262
FANCD2OS	-0.02	0.263
DCTN5	0.1	0.263
NBL1	-0.21	0.263
PANK1	-0.18	0.263
COL22A1	0.51	0.263
WDFY2	0.11	0.263
ADAP2	0.17	0.263
ANKRD20A4P	-0.12	0.263
AMTN	-0.06	0.263
SMAP2	-0.08	0.263
BACE2	-0.36	0.263
C2ORF73	0.09	0.263
NEUROD2	0.06	0.263
GJA4	-0.17	0.263
TOB2	-0.11	0.263
NDUFAB1	-0.11	0.263
ZNF845	-0.22	0.263
ZNF410	0.06	0.263
SMYD3	0.18	0.263
TMEM215	-0.04	0.263
PCARE	-0.09	0.263
CCDC38	-0.16	0.263
PCDHB7	-0.23	0.263
PSG5	0.16	0.263
TOR1AIP2	-0.19	0.263
ADAMTS13	0.21	0.264
CHRNB1	-0.12	0.264
CMAHP	-0.26	0.264
ZNF805	0.08	0.264
CENPM	0.25	0.264
ZNF503-AS2	-0.13	0.264
TENM4	-0.28	0.264
BBLN	0.15	0.264
SFTPA2	-0.2	0.264
TNNT3	-0.14	0.264
CPNE2	0.12	0.264
AMELY	-0.06	0.264
BACH2	-0.24	0.264
KRTAP5-7	-0.21	0.264
PTPRF	-0.12	0.264
PALS1	-0.09	0.264
TMEM74	0.29	0.264
MLH3	-0.09	0.264
C2ORF69	-0.09	0.264
KHSRP	0.08	0.264
CDK1	0.24	0.264
HSD11B1	-0.57	0.264
TUBB7P	0.16	0.265
PPP1R27	-0.22	0.265
GAS8-AS1	-0.15	0.265
LHFPL3	0.27	0.265
SCO1	0.09	0.265
CENPQ	0.14	0.265
SPHK2	-0.12	0.265
NAXE	-0.1	0.265
GNG11	-0.13	0.265
LRP6	-0.12	0.265
OR6W1P	-0.02	0.265
CX3CL1	0.17	0.265
DYSF	-0.17	0.265
GPR87	-0.09	0.265
INTS4P1	0.18	0.265
SH2B2	0.17	0.265
TDP2	0.09	0.265
UBA3	0.06	0.265
SLC4A4	-0.36	0.265
FBXO36	-0.17	0.265
ZNF280C	0.12	0.266
ATAD2B	-0.1	0.266
PON2	0.11	0.266
PDZRN4	-0.27	0.266
HMGB1	0.06	0.266
OR4F29	0.14	0.266
C2ORF80	0.08	0.266
ISCU	-0.07	0.266
ARHGAP20	-0.26	0.266
MROH5	-0.07	0.266
KIAA1107	-0.18	0.266
ERCC1	0.11	0.266
KRTAP4-1	0.16	0.266
FIBP	-0.08	0.266
GPR180	-0.19	0.266
ACTRT3	0.16	0.266
ZNF501	-0.24	0.266
BRINP3	-0.28	0.266
MYSM1	-0.19	0.266
ADARB2	-0.21	0.266
SGCZ	0.21	0.266
RNF25	0.07	0.267
IMPG1	-0.12	0.267
LPL	-0.24	0.267
WSCD1	0.25	0.267
ZNF580	-0.13	0.267
PRDX6	0.1	0.267
LRRC45	-0.13	0.267
HLA-H	-0.15	0.267
JPH3	-0.18	0.267
BMX	-0.26	0.267
OR2L2	0.03	0.267
ADA2	0.19	0.267
KRT76	-0.02	0.267
LINC02877	-0.02	0.268
SEMA6D	-0.24	0.268
ZNF571	0.12	0.268
PPDPFL	0.2	0.268
GTSF1	-0.51	0.268
ATAD3C	-0.29	0.268
HAVCR1P1	0.18	0.268
TPH2	-0.05	0.268
QSER1	0.1	0.268
NDUFS1	-0.08	0.268
ATRNL1	-0.46	0.268
RNASE2	-0.25	0.268
SLC27A1	-0.15	0.268
PCNP	0.06	0.268
C6ORF52	0.27	0.268
FOXN1	0.18	0.269
KCNG2	-0.16	0.269
SNURF	0.35	0.269
KRT85	-0.32	0.269
ZNF614	0.22	0.269
TMEM37	-0.18	0.269
KIF26B	0.38	0.269
FMO3	-0.37	0.269
CBWD1	0.1	0.269
ZDHHC3	-0.06	0.269
PDLIM3	0.24	0.269
WASHC2A	0.3	0.269
TUG1	-0.09	0.269
SLC35E3	0.1	0.269
COA8	0.09	0.269
PAFAH1B3	0.24	0.269
G6PC3	0.11	0.269
EBP	-0.17	0.27
TAS2R3	-0.04	0.27
MAGED4	0.53	0.27
DCAF17	0.09	0.27
HTR7	0.2	0.27
SCN5A	-0.18	0.27
RASGEF1C	-0.15	0.27
NEU4	-0.59	0.27
DTX2	0.1	0.27
GDPD3	0.27	0.27
LAD1	0.36	0.27
RCHY1	0.09	0.27
ALMS1P1	-0.14	0.27
ZBTB33	0.13	0.27
HRH4	-0.13	0.27
ZNF518A	-0.12	0.27
DEGS1	-0.09	0.27
CTSA	-0.1	0.27
FAM155B	0.41	0.27
NLGN4Y	0.42	0.27
MYO3A	0.32	0.27
TAOK1	-0.2	0.271
DOC2A	-0.18	0.271
FBXO7	-0.08	0.271
WLS	-0.34	0.271
SIGLEC6	-0.13	0.271
PRF1	0.23	0.271
ZMAT2	0.1	0.271
KMT2D	-0.12	0.271
CALHM1	-0.08	0.271
MYO1B	-0.14	0.271
DHRS4L2	-0.15	0.271
NDUFA4	-0.08	0.271
CDKN1B	-0.08	0.271
HASPIN	0.22	0.271
TRMT11	0.11	0.271
SPON2	0.19	0.271
LILRA6	0.23	0.271
SEPTIN8	-0.11	0.271
NPHP4	-0.29	0.271
GPX7	-0.28	0.271
TAOK3	-0.1	0.271
KIFC1	0.24	0.271
PHACTR1	0.2	0.271
NEURL1	0.33	0.271
CHPF	-0.14	0.271
LZTS1	-0.19	0.272
CCDC83	-0.03	0.272
GBA	-0.12	0.272
TARS3	-0.11	0.272
TTLL6	0.26	0.272
GBX1	-0.04	0.272
C7ORF25	-0.07	0.272
GAGE1	0.44	0.272
KIF17	-0.17	0.272
GFI1	0.25	0.272
TNS3	0.13	0.272
TRAFD1	0.09	0.272
CORO7	0.11	0.272
CCDC142	0.1	0.272
CBLN1	-0.32	0.272
GPAT2	-0.28	0.272
LZTS2	0.12	0.272
NDUFA7	-0.11	0.273
SKA3	0.25	0.273
KIAA0319	0.22	0.273
CCDC102A	0.17	0.273
HEATR5B	0.1	0.273
SCNN1A	-0.27	0.273
KLHL41	0.23	0.273
PLBD2	-0.1	0.273
TXNL1	0.08	0.273
HSBP1L1	0.13	0.273
HTR4	0.3	0.273
TRAPPC8	-0.1	0.273
TMPRSS5	-0.17	0.273
SLC39A4	0.42	0.273
ZNF638	0.06	0.273
MAPK8IP2	-0.38	0.273
DAPK1	-0.17	0.274
PDK4	-0.32	0.274
PCDH20	0.49	0.274
EIF2B2	0.07	0.274
C1QTNF9	-0.17	0.274
FAM114A1	-0.16	0.274
CALY	0.31	0.274
AK7	-0.22	0.274
OLIG3	0.19	0.274
NID1	0.18	0.274
APIP	-0.1	0.274
FASTKD1	-0.09	0.274
SNORA59B	0.08	0.274
CRIM1	-0.27	0.274
THSD1P1	0.16	0.274
SGSH	0.09	0.274
SNX7	0.27	0.274
CT45A1	0.31	0.274
TEX101	-0.18	0.274
BCL7B	-0.07	0.274
NXPE4	-0.06	0.274
REN	-0.4	0.274
GPRC5A	0.38	0.274
COL25A1	-0.23	0.274
ZDHHC21	-0.19	0.274
SGCA	-0.35	0.274
MCTS2P	0.18	0.274
COL10A1	-0.4	0.274
PLA2G4F	-0.2	0.275
MRPL49	-0.07	0.275
PHEX	-0.21	0.275
DNAH9	-0.15	0.275
CNPY3	-0.09	0.275
ADM5	-0.19	0.275
CKS1B	0.13	0.275
TRIM11	0.11	0.275
GFRA3	-0.25	0.275
GPR132	0.21	0.275
COLCA1	0.27	0.275
CROCC	-0.12	0.275
C4ORF50	0.08	0.275
TMA7	0.1	0.275
CHD3	0.2	0.275
PMS2P1	0.09	0.275
MUC7	-0.04	0.276
DNTT	0.2	0.276
BIVM	-0.11	0.276
TEDDM1	0.2	0.276
ZNF556	0.2	0.276
C1ORF87	-0.08	0.276
MMP14	-0.17	0.276
RTL10	0.1	0.276
WDR6	0.1	0.276
BACH1	0.15	0.276
HAGHL	-0.28	0.276
TDRD9	-0.22	0.276
IGF2-AS	-0.42	0.276
ZCCHC4	0.09	0.276
OR4F4	0.09	0.276
CYP39A1	-0.45	0.276
ZNF563	-0.15	0.276
RTEL1	-0.1	0.276
SYDE2	0.22	0.276
SNORA68	0.05	0.276
GHITM	-0.08	0.276
WNK2	0.55	0.277
MOB1A	0.11	0.277
MARCHF11	0.1	0.277
ZNF76	0.07	0.277
FDXACB1	0.11	0.277
CST7	0.25	0.277
PLIN3	0.11	0.277
CDH19	-0.34	0.277
UBL3	-0.11	0.277
TIMM50	0.1	0.277
THAP3	-0.12	0.277
NANOGNB	0.05	0.277
PRPF8	-0.08	0.277
MCUR1	-0.11	0.277
FAM9C	-0.13	0.277
PKD1L1	-0.15	0.277
ZNF322P1	-0.1	0.277
CRACD	-0.38	0.277
ZNF257	-0.26	0.277
ATP6V1E1	0.06	0.277
HSDL1	-0.1	0.278
TTC7B	0.15	0.278
AHCYL1	-0.09	0.278
MUC20	-0.26	0.278
ZFAND4	-0.1	0.278
GJB7	0.2	0.278
FANCD2	0.22	0.278
GRK1	-0.02	0.278
FAM168B	0.09	0.278
ZNF428	-0.11	0.278
GPRC6A	0.14	0.278
TMEM135	-0.11	0.278
LINC01559	0.31	0.278
MSL1	0.07	0.278
CBX1	0.1	0.278
C4ORF33	-0.16	0.278
RDH5	-0.24	0.278
IFNL1	0.09	0.278
SLC25A46	-0.12	0.278
KBTBD8	0.16	0.278
FAM110B	0.23	0.279
ABL2	0.11	0.279
SEZ6L2	-0.53	0.279
CCDC92	-0.09	0.279
SAXO2	0.24	0.279
MZT2B	0.12	0.279
UCP1	0.06	0.279
VPS50	0.08	0.279
BMPR1B	-0.31	0.279
OVOL1	-0.34	0.279
LRRC66	-0.24	0.279
PVALEF	-0.13	0.279
RAP2A	0.15	0.279
PHC3	-0.09	0.279
TRPV4	0.34	0.279
FOXF1	-0.23	0.279
OMP	0.15	0.279
SIX4	0.29	0.279
ADCY2	-0.14	0.28
LINC00032	-0.05	0.28
PHF3	0.11	0.28
PPM1K	-0.21	0.28
MRPS26	0.09	0.28
RNF180	-0.24	0.28
PTGIR	-0.24	0.28
CFAP46	0.21	0.28
ART3	0.26	0.28
ANKRD26P1	-0.25	0.28
DIRAS3	-0.33	0.28
B3GAT3	-0.11	0.28
UMODL1	-0.24	0.28
C17ORF49	0.11	0.28
NDUFA2	-0.11	0.281
KIAA1217	0.12	0.281
GRAPL	-0.16	0.281
BTN3A2	-0.14	0.281
PLA2G1B	0.29	0.281
CRX	-0.11	0.281
SOST	-0.08	0.281
SNORA21	0.05	0.281
MAGOH	0.08	0.281
GSX2	-0.02	0.281
ALG6	-0.09	0.281
AASDH	-0.09	0.281
MSH2	0.12	0.281
CDC20	0.27	0.281
ZNF626	-0.23	0.281
LMO7	0.14	0.281
AVL9	0.09	0.281
VDR	0.28	0.281
EDN3	-0.17	0.281
TRIM21	-0.11	0.281
JPH1	-0.36	0.281
ATG7	0.07	0.281
SLAMF1	0.23	0.281
CRYL1	-0.18	0.281
NTN4	0.19	0.281
ZNF81	-0.13	0.282
CYP2E1	0.67	0.282
CHMP7	0.09	0.282
CUL4A	0.09	0.282
BRI3	0.1	0.282
MAPK3	-0.09	0.282
SCLY	0.12	0.282
GBP3	-0.26	0.282
PNN	-0.09	0.282
UBE2M	0.09	0.282
HOXC10	-0.36	0.282
SFT2D3	-0.08	0.282
RAB30	0.14	0.282
LIMD2	0.22	0.282
C4ORF3	0.1	0.282
RTCA	0.08	0.282
RFLNA	-0.4	0.282
TOGARAM2	0.24	0.282
TMEM9	-0.1	0.282
TAS2R31	0.09	0.282
TBCK	0.13	0.282
THBS3	-0.15	0.282
PITPNA	-0.08	0.282
TRMT112	0.09	0.282
HCRTR1	0.08	0.282
SGSM2	-0.12	0.282
COMT	0.14	0.282
HECTD2	0.14	0.283
NICN1	0.09	0.283
PDZD7	-0.18	0.283
OR13G1	0.02	0.283
MTM1	-0.13	0.283
AJAP1	0.28	0.283
FOXB1	-0.03	0.283
DDTL	-0.17	0.283
SLC50A1	-0.12	0.283
RSPH9	0.14	0.283
SLC44A4	0.33	0.283
XPNPEP3	0.08	0.283
RTN4	0.09	0.283
AP3B2	0.27	0.283
VDAC3	0.12	0.283
MYL6	-0.08	0.284
ZC3H12A	0.18	0.284
ABCD2	-0.22	0.284
SNORD94	-0.07	0.284
PRDM1	0.18	0.284
PAOX	-0.14	0.284
NIBAN3	-0.18	0.284
ULK4	-0.22	0.284
PARS2	0.1	0.284
CLCA3P	0.03	0.284
KCTD2	0.08	0.284
SSTR4	0.02	0.284
PMCH	0.14	0.284
C9ORF131	-0.1	0.284
BRINP2	0.2	0.285
DIRC3	-0.14	0.285
G2E3	-0.1	0.285
HELZ	-0.1	0.285
CFB	-0.21	0.285
BCL2L14	0.33	0.285
KIF18B	0.25	0.285
CNTNAP1	-0.22	0.285
ATP2B1	0.14	0.285
FAM117B	0.17	0.285
BMI1	-0.1	0.285
POGLUT1	-0.1	0.285
SOX30	-0.11	0.285
RPS10P7	-0.14	0.285
ST3GAL1	0.2	0.285
IRX4	0.08	0.286
LRRN2	-0.32	0.286
EIF4EBP2	0.12	0.286
ZNF264	-0.11	0.286
DDX58	0.12	0.286
KRTAP10-12	0.03	0.286
MBNL2	-0.15	0.286
CCDC144NL	-0.17	0.286
LHX3	-0.35	0.286
ZNF474	0.12	0.286
KCNH7	0.23	0.286
ARHGAP30	0.17	0.286
MARVELD3	-0.19	0.287
ZGPAT	-0.14	0.287
ATXN7L1	-0.16	0.287
ABHD17B	0.09	0.287
PRR5L	0.24	0.287
ACVR2A	0.08	0.287
GINS2	-0.16	0.287
RGS1	0.33	0.287
TP53TG1	-0.13	0.287
ZNF407	0.07	0.287
ACRBP	0.17	0.287
ALPP	-0.12	0.287
CCDC150	0.23	0.287
SLC7A5P1	0.1	0.287
LMO4	0.12	0.287
ZNF281	-0.23	0.287
C6ORF136	-0.08	0.287
CSH2	-0.04	0.287
MRPL27	-0.1	0.287
TSPYL4	-0.14	0.287
KCNH2	-0.36	0.287
PROS1	-0.16	0.287
VTI1B	-0.07	0.287
ADGRL4	-0.13	0.287
ERG	-0.16	0.287
DEDD	-0.06	0.287
GBP1P1	-0.22	0.288
GJD2	0.02	0.288
CRYGD	0.08	0.288
LILRA4	0.2	0.288
FGD6	-0.18	0.288
PI4KAP2	0.17	0.288
ZNF302	-0.09	0.288
HMGXB3	0.07	0.288
DMXL1	-0.1	0.288
SLC5A10	-0.31	0.288
OR12D3	0.07	0.288
LOXL3	0.17	0.288
LAX1	0.21	0.288
BOLA3	0.1	0.288
GOLGA6B	-0.34	0.288
CENPS	-0.11	0.289
KRTAP4-12	0.02	0.289
SLC5A3	-0.16	0.289
SLC12A5	0.17	0.289
IGBP1P1	0.15	0.289
TJP2	0.14	0.289
ANKRD28	-0.09	0.289
TDRD7	0.08	0.289
ATOH8	-0.36	0.289
PLPP5	-0.14	0.289
TFEB	-0.13	0.289
SEMG2	-0.02	0.289
VAC14	-0.09	0.289
NSD3	-0.13	0.289
HOXC11	-0.11	0.289
NOSIP	0.1	0.289
PSMD8	-0.07	0.289
CTAGE4	-0.24	0.289
FAM78B	0.2	0.29
DEDD2	0.08	0.29
MAST4	-0.23	0.29
B4GALT1	0.1	0.29
COL4A1	-0.19	0.29
PDZRN3	-0.36	0.29
C5ORF22	-0.07	0.29
SFTA1P	-0.19	0.29
AGPAT4	0.23	0.29
ITGB1BP1	0.1	0.29
GSK3A	0.06	0.29
MUC16	-0.11	0.29
STPG2	0.07	0.29
PDLIM4	-0.27	0.29
ARHGDIB	0.13	0.29
ZNF567	0.13	0.29
PJVK	-0.15	0.29
UBQLN3	-0.01	0.29
RADIL	-0.2	0.29
TLK2	0.06	0.29
SMPDL3B	0.37	0.29
SUCO	-0.1	0.29
MROH1	0.11	0.29
FRMD3	-0.28	0.291
ADAM17	0.16	0.291
PRRC2B	0.1	0.291
CHTF18	-0.15	0.291
POU5F1B	0.16	0.291
RPL23AP7	0.12	0.291
KRTAP1-5	0.06	0.291
DCLK3	0.19	0.291
MORN3	-0.16	0.291
C11ORF87	0.08	0.291
IL27RA	0.17	0.291
TNFRSF9	0.3	0.291
PCDHGC3	-0.18	0.292
UPF2	0.09	0.292
XPO7	0.12	0.292
MBLAC2	0.11	0.292
RBM27	0.07	0.292
BEND6	-0.26	0.292
CHURC1	0.07	0.292
TMEM256	0.13	0.292
CALU	0.1	0.292
USF1	-0.07	0.292
MYCBP	0.11	0.292
CIB1	-0.1	0.292
LAT2	-0.18	0.292
MAGEB10	-0.09	0.292
SMIM10L2A	-0.2	0.292
DIP2C-AS1	-0.34	0.292
CRISP2	0.24	0.292
TMEM50A	-0.08	0.292
RANGRF	0.16	0.292
SLC39A8	-0.17	0.292
JADE3	0.11	0.292
PIAS1	-0.08	0.292
GPR32	0.03	0.292
RNF114	0.06	0.293
ANXA13	0.48	0.293
UGT3A1	-0.56	0.293
LINC00661	0.24	0.293
C12ORF73	0.09	0.293
GPRC5B	-0.23	0.293
STC1	0.21	0.293
ELF5	0.19	0.293
LINC00879	-0.08	0.293
ICAM3	-0.13	0.293
MAVS	0.09	0.293
CCKBR	0.18	0.294
CCNQ	-0.09	0.294
CDS1	-0.37	0.294
IKZF3	0.25	0.294
CSPG4	-0.18	0.294
RAB11FIP4	-0.18	0.294
MLLT10	0.11	0.294
IL4I1	0.24	0.294
NEBL	0.02	0.294
HHIPL1	-0.2	0.294
SNRNP70	0.08	0.294
RASA4CP	-0.13	0.294
SDCBP	0.12	0.294
ARHGEF40	-0.12	0.294
H4C8	-0.28	0.294
DNAAF6	-0.02	0.294
PACS1	0.11	0.294
ZNF879	-0.23	0.294
POLA1	0.12	0.294
MTSS1	0.13	0.294
SLC34A2	0.54	0.295
TPTE2P6	-0.11	0.295
CCDC54	0.11	0.295
TOP2A	0.25	0.295
HDGFL3	-0.21	0.295
EPS8	0.1	0.295
CACTIN	-0.07	0.295
HSPBP1	0.1	0.295
CACNG3	0.09	0.295
RBP4	-0.27	0.295
TMEM53	-0.12	0.295
KIR2DL3	0.17	0.295
NDUFB7	-0.11	0.295
WNT16	-0.13	0.295
ULBP2	-0.24	0.295
PTCHD3	-0.17	0.295
ADAM2	-0.03	0.295
B3GALT1	-0.17	0.296
IFIH1	0.13	0.296
LSM10	-0.09	0.296
PARL	0.07	0.296
FAM71F1	0.1	0.296
LINC00426	-0.18	0.296
STRA6	-0.33	0.296
ZNF8	0.11	0.296
MRPL18	0.1	0.296
PRAC2	-0.13	0.296
CRTAP	0.1	0.296
FAHD1	-0.13	0.296
GINS4	0.19	0.296
FBF1	-0.16	0.296
PCDHB9	-0.25	0.296
OR7E24	0.02	0.296
SFTPA1	0.12	0.296
SLC35E2A	-0.16	0.296
GCNT1	0.2	0.297
B4GALT7	-0.09	0.297
CCDC74A	-0.27	0.297
CAMKK1	-0.14	0.297
ITGB3BP	0.13	0.297
H2AC20	0.17	0.297
ZNF551	0.2	0.297
NOG	-0.13	0.297
STX16	-0.07	0.297
OST4	0.08	0.297
ODAD1	-0.19	0.297
PIMREG	0.32	0.297
GTSE1	0.25	0.297
ADH4	-0.56	0.298
OCLM	-0.13	0.298
FKBP15	0.07	0.298
LEFTY2	0.18	0.298
SCN9A	0.27	0.298
NXPE1	-0.03	0.298
NPEPPS	0.09	0.298
CLRN2	0.11	0.298
ATR	0.09	0.298
OSCAR	0.2	0.298
PGBD1	0.2	0.298
KRCC1	-0.09	0.298
ZNF404	-0.21	0.298
CH25H	-0.3	0.298
GPER1	0.2	0.298
ZNF79	0.07	0.298
KRTAP3-3	0.03	0.299
LGALS4	-0.47	0.299
DNAJC17	-0.1	0.299
PURA	-0.07	0.299
CLPS	0.31	0.299
CCDC24	-0.19	0.299
PPY2P	0.19	0.299
PI4KA	-0.09	0.299
IRGC	0.05	0.299
MYRIP	-0.4	0.299
LRAT	0.27	0.299
CCN1	0.22	0.299
IL2RG	0.26	0.299
UAP1	-0.09	0.299
SCAND2P	-0.08	0.299
MLIP	-0.35	0.299
TBX21	0.2	0.299
TARDBP	0.04	0.299
DUSP10	-0.15	0.299
SLC40A1	-0.14	0.299
TMEM150A	0.1	0.299
GNLY	0.23	0.3
SUMO1	0.05	0.3
LINC00923	0.11	0.3
DERL2	-0.09	0.3
IMMP2L	-0.13	0.3
AFG3L1P	-0.1	0.3
IKZF1	0.2	0.3
LRG1	-0.23	0.3
OSGEPL1	0.08	0.3
SH3BP4	-0.13	0.3
RNF34	0.08	0.3
ATP10B	-0.32	0.3
PLA1A	-0.22	0.3
GLI3	-0.19	0.3
MYH6	0.12	0.3
GNAT3	-0.02	0.3
OR11H6	0.04	0.3
IL33	-0.27	0.3
ARHGAP27	-0.14	0.3
PRKACG	0.05	0.3
PRR12	-0.11	0.3
C22ORF39	0.08	0.301
HMHB1	0.08	0.301
SPDL1	0.15	0.301
ARHGEF1	0.08	0.301
PLXNC1	-0.37	0.301
ANXA8L1	0.07	0.301
STAG3L2	-0.14	0.301
RHOT2	-0.08	0.301
VWC2	-0.05	0.301
LRRC17	-0.19	0.301
AAGAB	-0.06	0.301
ANKRD36BP1	-0.26	0.301
FAR2P1	-0.39	0.301
CABP1	-0.16	0.301
ZNF468	-0.29	0.301
LIMS1	0.21	0.301
TAS2R43	0.06	0.301
LPAR2	0.24	0.302
ZBTB38	0.16	0.302
PPP6R1	0.07	0.302
CEACAM19	0.2	0.302
SLIRP	0.11	0.302
KRTAP19-3	0.06	0.302
APOBEC1	0.1	0.302
SEMA3B	-0.27	0.302
NTF4	-0.08	0.302
SPTA1	-0.27	0.302
KCNH3	-0.3	0.302
FAM47E	-0.15	0.302
AGMO	0.22	0.302
PI4KAP1	0.14	0.302
TSC1	0.1	0.302
LGALS13	0.02	0.302
INPP4A	0.1	0.302
VIT	0.11	0.302
TAF9B	-0.1	0.303
GLB1	-0.07	0.303
SF3B1	0.07	0.303
RNF11	-0.09	0.303
PRAM1	0.22	0.303
ATP2A1	-0.21	0.303
DPP8	-0.14	0.303
EIF2B3	0.1	0.303
CCNE2	0.2	0.303
EPS8L2	-0.11	0.303
LRFN5	-0.28	0.303
PIK3R4	-0.08	0.303
SSPN	-0.28	0.303
SNORA2A	-0.01	0.303
ACP3	-0.24	0.303
KAT7	0.07	0.303
NAP1L5	-0.18	0.303
PRKD3	0.1	0.303
LRRN4	0.32	0.303
STK11	-0.07	0.303
NOL9	0.11	0.303
FCN2	0.43	0.303
AQP4	-0.37	0.304
NEK2	0.24	0.304
MAT2B	0.08	0.304
ERMP1	0.11	0.304
PICALM	-0.07	0.304
NEUROD1	0.17	0.304
BCL11A	-0.31	0.304
EPDR1	0.22	0.304
SIGMAR1	0.1	0.304
CT45A6	0.15	0.304
TRAF7	-0.08	0.304
CEP170	0.13	0.304
NRSN1	0.17	0.304
PCDHB12	-0.22	0.304
SLC19A1	0.14	0.304
TSFM	0.08	0.304
HMGB2	0.13	0.304
TGFBI	0.16	0.304
PLPPR5	0.2	0.304
CREB3L3	-0.23	0.304
TOGARAM1	-0.11	0.304
CBL	0.14	0.304
CPM	0.17	0.305
MRPS36	-0.08	0.305
CD276	0.09	0.305
SLC15A2	-0.13	0.305
PLCG2	-0.15	0.305
CTSV	0.39	0.305
ANLN	0.25	0.305
RRM1	-0.09	0.305
TDRKH	0.16	0.305
PDCD1	0.32	0.305
CLEC17A	0.15	0.305
NME9	-0.16	0.305
ASIP	-0.18	0.305
MYL5	-0.11	0.305
MRPS7	0.08	0.305
COX7A2	-0.12	0.305
TMEM100	-0.36	0.306
HIVEP2	-0.12	0.306
ANKRD31	-0.08	0.306
FOSL2	0.17	0.306
ZNF367	0.14	0.306
ABCB7	0.07	0.306
MATN3	0.36	0.306
AP2S1	-0.09	0.306
PLEKHG5	-0.12	0.306
RDM1	0.26	0.306
RAET1K	-0.17	0.306
DNAJB12	0.06	0.306
PIN1P1	-0.09	0.306
CYB561A3	-0.08	0.306
IFNL3	-0.01	0.306
TMIGD2	-0.17	0.306
OR11H12	0.03	0.307
DEFB123	0.02	0.307
H2AC21	0.09	0.307
BRSK1	-0.19	0.307
PDC	-0.05	0.307
SPACA1	-0.11	0.307
FAM90A1	0.25	0.307
TPGS1	-0.15	0.307
STOX1	0.29	0.307
SH3RF3	-0.25	0.307
KPNA5	0.18	0.307
ADCY6	-0.09	0.307
ESRRG	-0.35	0.307
VKORC1L1	0.07	0.307
ALDH1A2	-0.3	0.307
FGFR1	-0.23	0.307
TTC39A	-0.35	0.307
ABHD11-AS1	-0.17	0.307
SYNJ2	-0.19	0.308
DHRS4	-0.13	0.308
TRH	0.13	0.308
ZSWIM3	-0.08	0.308
TRPV1	-0.13	0.308
S100A11	0.22	0.308
TUSC1	-0.22	0.308
ATP8B2	-0.19	0.308
NRIP1	-0.13	0.308
PTS	-0.1	0.308
MBL1P	-0.25	0.308
PYY2	0.18	0.308
FSCB	-0.02	0.308
H2BC6	0.15	0.308
FOS	0.28	0.308
DTNBP1	0.12	0.308
SKOR1	-0.15	0.308
RCBTB1	-0.11	0.308
LAMTOR5	0.08	0.308
ANKDD1A	-0.14	0.309
COX6C	0.13	0.309
ZC3H18	0.06	0.309
NPY4R	0.22	0.309
FAM162B	-0.19	0.309
UBE2L6	0.14	0.309
UBXN4	-0.08	0.309
VMO1	0.16	0.309
HIRA	0.07	0.309
MZF1	-0.1	0.309
